nameWithOwner,folderName,url,createdAt,stargazerCount,releases,LOC,CBO,DIT,LCOM
signalapp/Signal-Android,Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15 20:01:12,23451,0,,,,
Netflix/Hystrix,Hystrix,https://github.com/Netflix/Hystrix,2012-11-19 20:14:46,23280,79,,,,
TeamNewPipe/NewPipe,NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03 23:39:26,23135,124,,,,
google/gson,gson,https://github.com/google/gson,2015-03-19 18:21:20,21970,6,,,,
DrKLO/Telegram,Telegram,https://github.com/DrKLO/Telegram,2013-10-25 14:08:10,21805,79,,,,
doocs/leetcode,leetcode,https://github.com/doocs/leetcode,2018-09-16 14:03:03,21610,19,,,,
apache/skywalking,skywalking,https://github.com/apache/skywalking,2015-11-07 03:30:36,21526,55,,,,
libgdx/libgdx,libgdx,https://github.com/libgdx/libgdx,2012-08-10 19:34:38,21275,9,,,,
apache/flink,flink,https://github.com/apache/flink,2014-06-07 07:00:10,20956,0,,,,
redisson/redisson,redisson,https://github.com/redisson/redisson,2014-01-11 14:06:25,20850,121,,,,
alibaba/Sentinel,Sentinel,https://github.com/alibaba/Sentinel,2018-04-04 06:37:33,20741,23,,,,
google/ExoPlayer,ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13 21:19:18,20539,24,,,,
bazelbuild/bazel,bazel,https://github.com/bazelbuild/bazel,2014-06-12 16:00:38,20521,198,,,,
jenkinsci/jenkins,jenkins,https://github.com/jenkinsci/jenkins,2010-11-22 21:21:23,20507,249,,,,
termux/termux-app,termux-app,https://github.com/termux/termux-app,2015-10-23 09:42:46,20382,89,,,,
ReactiveX/RxAndroid,RxAndroid,https://github.com/ReactiveX/RxAndroid,2014-08-19 03:46:38,19778,20,,,,
apache/shardingsphere,shardingsphere,https://github.com/apache/shardingsphere,2016-01-18 12:49:26,18162,52,,,,
brettwooldridge/HikariCP,HikariCP,https://github.com/brettwooldridge/HikariCP,2013-10-08 05:43:03,18015,0,,,,
linlinjava/litemall,litemall,https://github.com/linlinjava/litemall,2018-03-22 16:42:30,17848,8,,,,
dianping/cat,cat,https://github.com/dianping/cat,2012-12-05 02:31:48,17630,3,,,,
Anuken/Mindustry,Mindustry,https://github.com/Anuken/Mindustry,2017-04-30 01:24:29,17432,151,,,,
forezp/SpringCloudLearning,SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,2017-04-08 10:06:56,17211,0,,,,
facebook/fresco,fresco,https://github.com/facebook/fresco,2015-03-02 09:58:04,16928,46,,,,
nostra13/Android-Universal-Image-Loader,Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27 18:48:23,16813,0,,,,
shuzheng/zheng,zheng,https://github.com/shuzheng/zheng,2016-10-04 10:07:06,16466,0,,,,
yudaocode/SpringBoot-Labs,SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,2018-09-12 14:51:46,16399,0,,,,
linlinjava/litemall,litemall,https://github.com/linlinjava/litemall,2018-03-22 16:42:30,17848,8,,,,
dianping/cat,cat,https://github.com/dianping/cat,2012-12-05 02:31:48,17630,3,,,,
Anuken/Mindustry,Mindustry,https://github.com/Anuken/Mindustry,2017-04-30 01:24:29,17432,151,,,,
forezp/SpringCloudLearning,SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,2017-04-08 10:06:56,17211,0,,,,
facebook/fresco,fresco,https://github.com/facebook/fresco,2015-03-02 09:58:04,16928,46,,,,
nostra13/Android-Universal-Image-Loader,Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27 18:48:23,16813,0,,,,
Tencent/tinker,tinker,https://github.com/Tencent/tinker,2016-09-06 06:57:52,16716,52,,,,
shuzheng/zheng,zheng,https://github.com/shuzheng/zheng,2016-10-04 10:07:06,16466,0,,,,
yudaocode/SpringBoot-Labs,SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,2018-09-12 14:51:46,16399,0,,,,
winterbe/java8-tutorial,java8-tutorial,https://github.com/winterbe/java8-tutorial,2014-03-16 17:25:43,16232,0,,,,
openzipkin/zipkin,zipkin,https://github.com/openzipkin/zipkin,2012-06-06 18:26:16,16074,69,,,,
iBotPeaches/Apktool,Apktool,https://github.com/iBotPeaches/Apktool,2012-03-19 17:46:53,15972,16,,,,
LMAX-Exchange/disruptor,disruptor,https://github.com/LMAX-Exchange/disruptor,2012-09-21 13:42:24,15869,13,,,,
OpenAPITools/openapi-generator,openapi-generator,https://github.com/OpenAPITools/openapi-generator,2018-05-12 09:57:56,15751,53,,,,
openjdk/jdk,jdk,https://github.com/openjdk/jdk,2018-09-17 12:29:20,15509,0,,,,
keycloak/keycloak,keycloak,https://github.com/keycloak/keycloak,2013-07-02 13:38:51,15416,33,,,,
JeffLi1993/springboot-learning-example,springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,2017-02-06 07:02:25,15345,0,,,,
android10/Android-CleanArchitecture,Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,2014-08-19 14:09:26,15310,0,,,,
dyc87112/SpringBoot-Learning,SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,2016-08-21 03:39:06,15056,0,,,,
Tencent/APIJSON,APIJSON,https://github.com/Tencent/APIJSON,2016-11-21 12:03:29,14991,92,,,,
medcl/elasticsearch-analysis-ik,elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,2011-12-16 09:01:45,14920,184,,,,
material-components/material-components-android,material-components-android,https://github.com/material-components/material-components-android,2016-12-05 16:11:29,14749,68,,,,
prestodb/presto,presto,https://github.com/prestodb/presto,2012-08-09 01:03:37,14580,0,,,,
justauth/JustAuth,JustAuth,https://github.com/justauth/JustAuth,2019-01-31 09:42:20,14568,44,,,,
williamfiset/Algorithms,Algorithms,https://github.com/williamfiset/Algorithms,2017-03-18 02:50:46,14526,0,,,,
hdodenhof/CircleImageView,CircleImageView,https://github.com/hdodenhof/CircleImageView,2014-01-17 16:44:46,14399,0,,,,
baomidou/mybatis-plus,mybatis-plus,https://github.com/baomidou/mybatis-plus,2016-08-18 10:06:53,14251,24,,,,
android-hacker/VirtualXposed,VirtualXposed,https://github.com/android-hacker/VirtualXposed,2017-12-01 09:00:58,14238,50,,,,
alibaba/ARouter,ARouter,https://github.com/alibaba/ARouter,2016-12-14 01:27:49,14140,16,,,,
antlr/antlr4,antlr4,https://github.com/antlr/antlr4,2010-02-04 01:36:28,14113,28,,,,
Tencent/QMUI_Android,QMUI_Android,https://github.com/Tencent/QMUI_Android,2017-04-21 10:03:18,14001,35,,,,
mockito/mockito,mockito,https://github.com/mockito/mockito,2012-10-13 20:27:12,13814,199,,,,
Konloch/bytecode-viewer,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,2014-10-14 10:26:46,13607,58,,,,
heibaiying/BigData-Notes,BigData-Notes,https://github.com/heibaiying/BigData-Notes,2019-03-10 01:40:01,13606,0,,,,
lgvalle/Material-Animations,Material-Animations,https://github.com/lgvalle/Material-Animations,2015-03-08 20:54:00,13559,0,,,,
orhanobut/logger,logger,https://github.com/orhanobut/logger,2015-03-20 22:30:12,13549,16,,,,
arduino/Arduino,Arduino,https://github.com/arduino/Arduino,2010-09-17 19:10:36,13472,37,,,,
eclipse-vertx/vert.x,vert.x,https://github.com/eclipse-vertx/vert.x,2011-06-17 14:54:55,13466,0,,,,
thingsboard/thingsboard,thingsboard,https://github.com/thingsboard/thingsboard,2016-12-01 09:33:30,13376,53,,,,
apache/hadoop,hadoop,https://github.com/apache/hadoop,2014-08-28 07:00:08,13365,0,,,,
elastic/logstash,logstash,https://github.com/elastic/logstash,2010-11-18 01:31:50,13352,108,,,,
ben-manes/caffeine,caffeine,https://github.com/ben-manes/caffeine,2014-12-13 08:45:11,13351,65,,,,
zhisheng17/flink-learning,flink-learning,https://github.com/zhisheng17/flink-learning,2019-01-01 07:38:28,13303,0,,,,
Bigkoo/Android-PickerView,Android-PickerView,https://github.com/Bigkoo/Android-PickerView,2014-12-28 01:46:38,13270,0,,,,
Curzibn/Luban,Luban,https://github.com/Curzibn/Luban,2016-07-24 07:43:21,13216,6,,,,
alibaba/DataX,DataX,https://github.com/alibaba/DataX,2018-01-18 10:09:47,13159,4,,,,
google/tink,tink,https://github.com/google/tink,2014-06-06 16:21:09,13068,21,,,,
lionsoul2014/ip2region,ip2region,https://github.com/lionsoul2014/ip2region,2015-11-02 00:43:13,13058,0,,,,
JessYanCoding/AndroidAutoSize,AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,2018-08-17 09:04:19,12913,14,,,,
deeplearning4j/deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,2013-11-27 02:03:28,12845,0,,,,
Grasscutters/Grasscutter,Grasscutter,https://github.com/Grasscutters/Grasscutter,2022-04-17 12:43:46,12823,6,,,,
pinpoint-apm/pinpoint,pinpoint,https://github.com/pinpoint-apm/pinpoint,2014-10-20 09:27:22,12672,52,,,,
